participant_id,condition,status,demographics,trials_completed,trust_responses,started_at,completed_at
P-97C062D7,humanlike,completed,"{""ageRange"": ""18-24"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-18T04:40:00,2026-03-18T04:59:00
P-C77E339D,humanlike,completed,"{""ageRange"": ""35-44"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-19T12:18:00,2026-03-19T12:43:00
P-1D7A2E79,humanlike,completed,"{""ageRange"": ""45-54"", ""education"": ""Some college"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-20T10:37:00,2026-03-20T11:00:00
P-3DDBC5A5,humanlike,completed,"{""ageRange"": ""45-54"", ""education"": ""Some college"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-16T00:31:00,2026-03-16T00:45:00
P-54AA6AE9,humanlike,completed,"{""ageRange"": ""45-54"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-17T22:39:00,2026-03-17T23:00:00
P-53344906,humanlike,completed,"{""ageRange"": ""18-24"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-19T13:49:00,2026-03-19T14:06:00
P-FEBDA692,humanlike,completed,"{""ageRange"": ""45-54"", ""education"": ""Some college"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-21T17:46:00,2026-03-21T17:58:00
P-8D2B7D80,humanlike,completed,"{""ageRange"": ""35-44"", ""education"": ""Some college"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-20T01:03:00,2026-03-20T01:19:00
P-9941484B,humanlike,completed,"{""ageRange"": ""65+"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-25T00:21:00,2026-03-25T00:46:00
P-9D5063BF,humanlike,completed,"{""ageRange"": ""18-24"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-16T03:19:00,2026-03-16T03:32:00
P-AD263F53,humanlike,completed,"{""ageRange"": ""35-44"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-15T23:52:00,2026-03-16T00:17:00
P-DB55AAF3,humanlike,completed,"{""ageRange"": ""18-24"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-20T06:15:00,2026-03-20T06:39:00
P-F1446DA1,humanlike,completed,"{""ageRange"": ""35-44"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-18T16:47:00,2026-03-18T16:59:00
P-EB6D2E2B,humanlike,completed,"{""ageRange"": ""45-54"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-20T02:08:00,2026-03-20T02:28:00
P-812946B2,humanlike,completed,"{""ageRange"": ""25-34"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-22T20:46:00,2026-03-22T20:58:00
P-445BA5F8,authority,completed,"{""ageRange"": ""45-54"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-17T07:23:00,2026-03-17T07:46:00
P-DB59BEEA,authority,completed,"{""ageRange"": ""45-54"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-19T11:41:00,2026-03-19T12:05:00
P-53B98B4A,authority,completed,"{""ageRange"": ""35-44"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-25T02:32:00,2026-03-25T02:52:00
P-4ECF7560,authority,completed,"{""ageRange"": ""35-44"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-23T19:34:00,2026-03-23T19:54:00
P-8AC45279,authority,completed,"{""ageRange"": ""45-54"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-22T23:12:00,2026-03-22T23:29:00
P-54DFF547,authority,completed,"{""ageRange"": ""35-44"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-15T21:36:00,2026-03-15T21:52:00
P-0CDD137F,authority,completed,"{""ageRange"": ""25-34"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-21T05:18:00,2026-03-21T05:42:00
P-C2B24AF4,authority,completed,"{""ageRange"": ""35-44"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-17T01:03:00,2026-03-17T01:22:00
P-246FECBB,authority,completed,"{""ageRange"": ""35-44"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-22T00:58:00,2026-03-22T01:14:00
P-B1BACA01,authority,completed,"{""ageRange"": ""45-54"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-16T15:59:00,2026-03-16T16:12:00
P-4264F01F,authority,completed,"{""ageRange"": ""18-24"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-15T12:57:00,2026-03-15T13:16:00
P-C25C046C,authority,completed,"{""ageRange"": ""35-44"", ""education"": ""Some college"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-20T06:31:00,2026-03-20T06:52:00
P-FDD08DEB,authority,completed,"{""ageRange"": ""55-64"", ""education"": ""Some college"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-17T18:46:00,2026-03-17T19:08:00
P-8FBB70FC,authority,completed,"{""ageRange"": ""55-64"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-18T01:51:00,2026-03-18T02:04:00
P-80AE262C,authority,completed,"{""ageRange"": ""18-24"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-19T04:08:00,2026-03-19T04:31:00
P-58107812,authority,completed,"{""ageRange"": ""18-24"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-17T14:35:00,2026-03-17T14:55:00
P-AD2754D5,authority,completed,"{""ageRange"": ""65+"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-25T02:16:00,2026-03-25T02:36:00
P-E8275737,authority,completed,"{""ageRange"": ""18-24"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-24T08:36:00,2026-03-24T09:01:00
P-1B94670A,authority,completed,"{""ageRange"": ""25-34"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-25T05:07:00,2026-03-25T05:22:00
P-86016421,authority,completed,"{""ageRange"": ""55-64"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-15T19:54:00,2026-03-15T20:14:00
P-6679C115,authority,completed,"{""ageRange"": ""18-24"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-21T00:45:00,2026-03-21T01:09:00
P-5E6A07CA,authority,completed,"{""ageRange"": ""55-64"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-16T00:28:00,2026-03-16T00:47:00
P-A74CEB21,authority,completed,"{""ageRange"": ""25-34"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-19T16:19:00,2026-03-19T16:35:00
P-147F0C79,authority,completed,"{""ageRange"": ""45-54"", ""education"": ""Some college"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-22T17:23:00,2026-03-22T17:46:00
P-E87F0DC2,authority,completed,"{""ageRange"": ""35-44"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-16T14:36:00,2026-03-16T14:57:00
P-B2CFC1DA,authority,completed,"{""ageRange"": ""25-34"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-17T02:36:00,2026-03-17T02:49:00
P-4DD8C9DD,authority,completed,"{""ageRange"": ""65+"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-18T15:06:00,2026-03-18T15:19:00
P-4624F32A,authority,completed,"{""ageRange"": ""25-34"", ""education"": ""Some college"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-15T18:32:00,2026-03-15T18:52:00
P-97B5512C,authority,completed,"{""ageRange"": ""55-64"", ""education"": ""Some college"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-19T20:52:00,2026-03-19T21:17:00
P-0D3C5BE1,authority,completed,"{""ageRange"": ""25-34"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-21T00:38:00,2026-03-21T00:51:00
P-D33D6448,humanlike_calibrated,completed,"{""ageRange"": ""55-64"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-23T19:28:00,2026-03-23T19:41:00
P-D840446C,humanlike_calibrated,completed,"{""ageRange"": ""45-54"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-20T09:17:00,2026-03-20T09:42:00
P-2A245231,humanlike_calibrated,completed,"{""ageRange"": ""25-34"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-23T21:25:00,2026-03-23T21:50:00
P-71232705,humanlike_calibrated,completed,"{""ageRange"": ""55-64"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-16T07:48:00,2026-03-16T08:13:00
P-E6A20691,humanlike_calibrated,completed,"{""ageRange"": ""35-44"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-20T03:01:00,2026-03-20T03:18:00
P-FB00DF39,humanlike_calibrated,completed,"{""ageRange"": ""65+"", ""education"": ""Some college"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-25T05:42:00,2026-03-25T06:00:00
P-CF32147E,humanlike_calibrated,completed,"{""ageRange"": ""18-24"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-15T15:31:00,2026-03-15T15:43:00
P-FFC9D9D7,humanlike_calibrated,completed,"{""ageRange"": ""18-24"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-18T21:39:00,2026-03-18T21:52:00
P-0E92CFA9,humanlike_calibrated,completed,"{""ageRange"": ""35-44"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-17T02:06:00,2026-03-17T02:27:00
P-F80D4423,humanlike_calibrated,completed,"{""ageRange"": ""55-64"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-23T22:06:00,2026-03-23T22:28:00
P-E82AD467,humanlike_calibrated,completed,"{""ageRange"": ""65+"", ""education"": ""Some college"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-22T12:22:00,2026-03-22T12:44:00
P-2B696E0D,humanlike_calibrated,completed,"{""ageRange"": ""25-34"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-23T22:29:00,2026-03-23T22:45:00
P-8276A441,humanlike_calibrated,completed,"{""ageRange"": ""45-54"", ""education"": ""Some college"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-16T02:28:00,2026-03-16T02:45:00
P-4E5873DE,humanlike_calibrated,completed,"{""ageRange"": ""25-34"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-19T15:15:00,2026-03-19T15:40:00
P-D923C461,humanlike_calibrated,completed,"{""ageRange"": ""25-34"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-21T04:32:00,2026-03-21T04:50:00
P-AEA58742,humanlike_calibrated,completed,"{""ageRange"": ""55-64"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-18T18:58:00,2026-03-18T19:22:00
P-3225E41E,humanlike_calibrated,completed,"{""ageRange"": ""35-44"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-19T13:51:00,2026-03-19T14:15:00
P-66C67268,humanlike_calibrated,completed,"{""ageRange"": ""35-44"", ""education"": ""Some college"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-22T21:55:00,2026-03-22T22:11:00
P-590D4818,humanlike_calibrated,completed,"{""ageRange"": ""25-34"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-15T10:09:00,2026-03-15T10:22:00
P-116FDF92,humanlike_calibrated,completed,"{""ageRange"": ""65+"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-21T17:57:00,2026-03-21T18:14:00
P-C193E874,humanlike_calibrated,completed,"{""ageRange"": ""55-64"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-20T10:03:00,2026-03-20T10:18:00
P-202D26D8,humanlike_calibrated,completed,"{""ageRange"": ""55-64"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-16T07:58:00,2026-03-16T08:10:00
P-D9887F4A,humanlike_calibrated,completed,"{""ageRange"": ""18-24"", ""education"": ""Some college"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-19T18:02:00,2026-03-19T18:14:00
P-AD67F792,humanlike_calibrated,completed,"{""ageRange"": ""55-64"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-16T15:53:00,2026-03-16T16:12:00
P-6E3F68CB,humanlike_calibrated,completed,"{""ageRange"": ""25-34"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-23T06:53:00,2026-03-23T07:18:00
P-7DDE68A5,humanlike_calibrated,completed,"{""ageRange"": ""35-44"", ""education"": ""Some college"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-22T16:40:00,2026-03-22T17:04:00
P-1E90C239,humanlike_calibrated,completed,"{""ageRange"": ""45-54"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-21T20:46:00,2026-03-21T21:05:00
P-B39037A9,humanlike_calibrated,completed,"{""ageRange"": ""65+"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-22T00:05:00,2026-03-22T00:30:00
P-159B1848,humanlike_calibrated,completed,"{""ageRange"": ""25-34"", ""education"": ""Some college"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-19T03:42:00,2026-03-19T04:00:00
P-EAC69CBE,humanlike_calibrated,completed,"{""ageRange"": ""55-64"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-22T03:41:00,2026-03-22T04:05:00
